title,popular_rank,orign_country,summary,rating
Knocked Up,524,United States,"When Alison Scott is promoted in E! Television, she goes to a night-club to celebrate with her older married sister Debbie. Alison meets the pothead reckless Ben Stone and while having a small talk with Ben, Debbie's husband Pete calls her to tell that their daughter has chicken pox. Debbie leaves the place but Allison stays with Ben, drinking and dancing along all night; completely wasted, they end up having a one night stand. Ben does not use a condom and eight weeks later, Allison discovers that she is pregnant. She calls Ben and they decide to try to stay together and have the baby. However, Ben needs to grow up first to raise a family of his own. —Claudio Carvalho, Rio de Janeiro, Brazil",6.9
Glitch,525,Australia,A police officer in a small town is called out to the local cemetery in the middle of the night. He makes a discovery that turns his world upside down: six people have risen from the dead in perfect health. —Bisho,7.3
Yasuke,526,Japan,"He came from Africa and fought alongside a mighty feudal lord in brutal 16th century Japan. They called him the Black Samurai, and he became a legend.",6.3
Hush,527,United States,A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,6.6
12 Monkeys,528,United States,"In the year 2043, scavenger James Cole (Aaron Stanford) has been recruited by a team of ""Project Splinter"" scientists led by physicist Katarina Jones (Barbara Sukowa), to travel back in time to the year 2015, and stop the release of a deadly virus by the enigmatic organization known as the ""Army of the 12 Monkeys"". In Cole's original time-line, the virus caused a plague that resulted in the death of seven billion humans in the year 2017, and its on-going mutations will mean the eventual end of the human race. In the 2015 time-line, Cole will meet and enlist the help of brilliant virologist Dr. Cassandra ""Cassie"" Railly (Amanda Schull); the two are brought together because a recording mentioning Cole, that Cassie made after the viral outbreak, is uncovered by Jones in the future time-line, prompting her to select Cole for the mission. Cole will also encounter a seemingly unstable math genius named Jennifer Goines (Emily Hampshire), whose father Cole has been tasked to kill, Cassie's ex-boyfriend Aaron Marker (Noah Bean), and the dangerous high-ranking members of the Army of the 12 Monkeys, ""Pallid Man"" (Tom Noonan) and Olivia (Alisen Down). In the future time-line, Cole will also have to deal with his best friend José Ramse (Kirk Acevedo), and a man named Theodore Deacon (Todd Stashwick), who leads a brutal pack of scavengers from which Cole and Ramse fled. Meanwhile, Cole and Cassie will try to unveil the identity and whereabouts of the mysterious leader of the Army of the 12 Monkeys, who is only known as ""The Witness"", and is always one step ahead of them. —ahmetkozan",7.7
Sweet Home,529,South Korea,"Hyun, a loner high school student who lost his entire family in a terrible accident, is forced to leave his home and has to face a new reality where monsters are trying to wipe out all of humanity. Now he must fight against all odds to try and race against the clock to save what is left of the human race before it's too late.",7.4
The Mummy,530,United States,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient princess, whose destiny was unjustly taken from her, is awakened in our current day bringing with her malevolence grown over millennia, and terrors that defy human comprehension. —Universal Pictures",5.4
Snabba Cash,531,Sweden,"The entrepreneurial jet set as well as the criminal world has become even more brutal, chaotic and ruthless. When these two worlds collide, loyalty, friendships and business partners will all be tested in the never-ending quest for easy money.",7.6
Saikojiman Gwaenchanha,532,South Korea,"A story about a man employed in a psychiatric ward and a woman who is a popular writer of children's books. The drama tells the story of Moon Kang Tae, a community health worker at a psychiatric ward who doesn't have time for love, and Go Moon Young, a successful children's book author with antisocial behavior who seems to have never known love. After meeting one another, the two slowly begin to heal each other's emotional wounds.",8.8
Zoo,533,United States,"Violent animal attacks upon humans are occurring all over the world. Jackson Oz, an American zoologist who offers safaris in Africa, begins to notice the animals' strange behavior and takes it upon himself to solve the reason why before these attacks become more coordinated and ferocious. —Soumik Ghosh",6.8
The One,534,United Kingdom,"One simple mouth swab is all it takes. A quick DNA test to find your perfect partner, the one you're genetically made for. A decade after scientists discover everyone has a gene they share with just one other person, millions have taken the test, desperate to find true love. Now, five more people meet their Match. But even soul mates have secrets. And some are more shocking and deadlier than others.",6.6
Unorthodox,535,Germany,"The series follows a young woman brought up in an ultra-Orthodox community in Brooklyn's Williamsburg district who strikes out for Berlin, leaving behind an arranged marriage and tight-knit faith community in part to pursue her goal discovering her path.",8.0
