Title,Director,Cast
Rain Man,Barry Levinson,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock, Michael D. Roberts, Ralph Seymour, Lucinda Jenney, Bonnie Hunt, Kim Robillard, Beth Grant, Dolan Dougherty, Marshall Dougherty, Patrick Dougherty, John-Michael Dougherty, Peter Dougherty, Andrew Dougherty, Loretta Wendt Jolivette"
Contratiempo,Oriol Paulo,"Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie, Francesc Orella, Paco Tous, David Selvas, Iñigo Gastesi, San Yélamos, Manel Dueso, Blanca Martínez, Pere Brasó, Jordi Brunet, Bobby Gonzalez, Martina Hurtado, Ruth Llopis, Jordi Llordella, Annick Weerts"
Pâfekuto burû,Satoshi Kon,"Junko Iwao, Rica Matsumoto, Shinpachi Tsuji, Masaaki Ôkura, Yôsuke Akimoto, Yoku Shioya, Hideyuki Hori, Emi Shinohara, Masashi Ebara, Kiyoyuki Yanada, Tôru Furusawa, Shiho Niiyama, Emiko Furukawa, Aya Hara, Shin'ichirô Miki, Jin Yamanoi, Megumi Tano, Takashi Nagasako"
A Woman Under the Influence,John Cassavetes,"Gena Rowlands, Peter Falk, Fred Draper, Lady Rowlands, Katherine Cassavetes, Matthew Labyorteaux, Matthew Cassel, Christina Grisanti, George Dunn, Mario Gallo, Eddie Shaw, Angelo Grisanti, Charles Horvath, James Joyce, John Finnegan, Vincent Barbi, Cliff Carnell, Frank Richards"
Aladdin,"Ron Clements, John Musker","Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman, Frank Welker, Gilbert Gottfried, Douglas Seale, Charlie Adler, Jack Angel, Corey Burton, Philip L. Clarke, Jim Cummings, Jennifer Darling, Debi Derryberry, Bruce Gooch, Jerry Houser, Vera Lockwood, Sherry Lynn"
Lion,Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar, Abhishek Bharate, Priyanka Bose, Khushi Solanki, Shankar Nisode, Tannishtha Chatterjee, Nawazuddin Siddiqui, Riddhi Sen, Kaushik Sen, Rita Roy, Udayshankar Pal, Surojit Das, Deepti Naval, Menik Gooneratne, David Wenham"
How to Make Millions Before Grandma Dies,Pat Boonnitipat,"Putthipong Assaratanakul, Usha Seamkhum, Sanya Kunakorn, Sarinrat Thomas, Pongsatorn Jongwilas, Tontawan Tantivejakul, Duangporn Oapirat, Himawari Tajiri, Wattana Subpakit, Sumalee Suteeratham, Phichai Prommate, Buppa Suttisanon"
Slumdog Millionaire,"Danny Boyle, Loveleen Tandan","Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor, Raj Zutshi, Jeneva Talwar, Irrfan Khan, Azharuddin Mohammed Ismail, Ayush Mahesh Khedekar, Jira Banjara, Sheikh Wali, Mahesh Manjrekar, Sanchita Choudhary, Himanshu Tyagi, Sharib Hashmi, Virendra Chatterjee, Feroze Khan, Sunil Kumar Agrawal"
Dog Day Afternoon,Sidney Lumet,"Al Pacino, John Cazale, Penelope Allen, Sully Boyar, Beulah Garrick, Carol Kane, Sandra Kazan, Marcia Jean Kurtz, Amy Levitt, John Marriott, Estelle Omens, Gary Springer, James Broderick, Charles Durning, Carmine Foresta, Lance Henriksen, Floyd Levine, Dick Anthony Williams"
The Bourne Ultimatum,Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles, David Strathairn, Scott Glenn, Paddy Considine, Albert Finney, Tom Gallop, Corey Johnson, Daniel Brühl, Joey Ansah, Colin Stinton, Dan Fredenburgh, Lucy Liemann, Bryan Reents, Arkie Reece, John Roberson"
Cinderella Man,Ron Howard,"Russell Crowe, Renée Zellweger, Craig Bierko, Paul Giamatti, Paddy Considine, Bruce McGill, David Huband, Connor Price, Ariel Waller, Patrick Louis, Rosemarie DeWitt, Linda Kash, Nicholas Campbell, Gene Pyrz, Chuck Shamata, Ron Canada, Alicia Johnston, Troy Amos-Ross"
Kill Bill: Vol. 2,Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah, Vivica A. Fox, Ambrosia Kelley, Michael Parks, James Parks, Jonathan Loughran, Michael Bowen, Kenji Ôba, Yoshiyuki Morishita, Jun Kunimura, Gorô Daimon, Kazuki Kitamura, Akaji Maro, Shun Sugata, The 5.6.7.8's"
The King's Speech,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi, Robert Portal, Richard Dixon, Paul Trussell, Adrian Scarborough, Andrew Havill, Charles Armstrong, Roger Hammond, Calum Gittins, Jennifer Ehle, Dominic Applewhite, Ben Wimsett, Freya Wilson, Ramona Marquez, David Bamber"
Akira,Katsuhiro Ôtomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda, Hiroshi Ôtake, Kôichi Kitamura, Michihiro Ikemizu, Yuriko Fuchizaki, Masaaki Ôkura, Tarô Arakawa, Takeshi Kusao, Kazumi Tanaka, Masayuki Katô, Yôsuke Akimoto, Masato Hirano, Yukimasa Kishino, Kazuhiro Kandô, Tatsuhiko Nakamura"
Planet of the Apes,Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans, James Whitmore, James Daly, Linda Harrison, Robert Gunner, Lou Wagner, Woodrow Parfrey, Jeff Burton, Buck Kartalian, Norman Burton, Wright King, Paul Lambert, Gene O'Donnell, Martin Abrahams, Army Archerd"
Cool Hand Luke,Stuart Rosenberg,"Paul Newman, George Kennedy, Strother Martin, J.D. Cannon, Lou Antonio, Robert Drivas, Jo Van Fleet, Clifton James, Morgan Woodward, Luke Askew, Marc Cavell, Richard Davalos, Robert Donner, Warren Finnerty, Dennis Hopper, John McLiam, Wayne Rogers, Harry Dean Stanton"
Life of Brian,Terry Jones,"Graham Chapman, John Cleese, Michael Palin, Terry Gilliam, Eric Idle, Terry Jones, Terence Bayler, Carol Cleveland, Kenneth Colley, Neil Innes, Charles McKeown, John Young, Gwen Taylor, Sue Jones-Davies, Peter Brett, John Case, Chris Langham, Andrew MacLachlan"
Chungking Express,Kar-Wai Wong,"Brigitte Lin, Takeshi Kaneshiro, Tony Leung Chiu-wai, Faye Wong, Valerie Chow, Piggy Chan, Lee-Na Kwan, Zhiming Huang, Liang Zhen, Songshen Zuo, Thom Baker, Rico Chu, Vickie Eng, Lynne Langdon"
Butch Cassidy and the Sundance Kid,George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Henry Jones, Jeff Corey, George Furth, Cloris Leachman, Ted Cassidy, Kenneth Mars, Donnelly Rhodes, Jody Gilbert, Timothy Scott, Don Keefer, Charles Dierkop, Pancho Córdova, Nelson Olmsted, Paul Bryar"
The Straight Story,David Lynch,"Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter, Donald Wiegert, Tracey Maloney, Dan Flannery, Jennifer Edwards-Hughes, Ed Grennan, Jack Walsh, Max the Wonder Dog, Gil Pearson, Barbara June Patterson, Everett McGill, Anastasia Webb, Matt Guidry, Bill McCallum, Barbara E. Robertson"
La Leggenda Del Pianista Sull'oceano,Giuseppe Tornatore,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn, Clarence Williams III, Peter Vaughan, Niall O'Brien, Gabriele Lavia, Vernon Nurse, Alberto Vazquez, John Armstead, Cory Buck, Norman Chancer, Sidney Cole, Katy Monique Cuomo, Luigi De Luca, Agostino Di Giorgio, Nicola Di Pinto"
Gandhi,Richard Attenborough,"Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth, Candice Bergen, Edward Fox, Trevor Howard, John Mills, Martin Sheen, Ian Charleson, Günther Maria Halmer, Athol Fugard, Saeed Jaffrey, Geraldine James, Alyque Padamsee, Amrish Puri, Ian Bannen, Michael Bryant"
8½,Federico Fellini,"Marcello Mastroianni, Anouk Aimée, Claudia Cardinale, Sandra Milo, Rossella Falk, Barbara Steele, Madeleine Lebeau, Caterina Boratto, Eddra Gale, Guido Alberti, Mario Conocchia, Bruno Agostini, Cesarino Miceli Picardi, Jean Rougeul, Mario Pisu, Yvonne Casadei, Ian Dallas, Mino Doro"
Rio Bravo,Howard Hawks,"John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson, Walter Brennan, Ward Bond, John Russell, Pedro Gonzalez Gonzalez, Estelita Rodriguez, Claude Akins, Malcolm Atterbury, Harry Carey Jr., Sheb Wooley, Fred Aldrich, Frank Balderrama, Walter Barnes, George Bell, Audrey Betz"
The Night of the Hunter,Charles Laughton,"Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason, Evelyn Varden, Peter Graves, Don Beddoe, Billy Chapin, Sally Jane Bruce, Gloria Castillo, Corey Allen, Oscar Blank, Paul Bryar, Nora Bush, Cheryl Callaway, Alexander Campbell, Michael Chapin, Noble 'Kid' Chissell"
Amores perros,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero, Vanessa Bauche, Jorge Salinas, Marco Pérez, Rodrigo Murray, Humberto Busto, Gerardo Campbell, Rosa María Bianchi, Dunia Saldívar, Adriana Barraza, José Sefami, Lourdes Echevarría, Laura Almela, Ricardo Dalmacci, Gustavo Sánchez Parra"
Fiddler on the Roof,Norman Jewison,"Topol, Norma Crane, Leonard Frey, Molly Picon, Paul Mann, Rosalind Harris, Michele Marsh, Neva Small, Paul Michael Glaser, Ray Lovelock, Elaine Edwards, Candy Bonstein, Shimen Ruskin, Zvee Scooler, Louis Zorich, Alfie Scopp, Howard Goorney, Barry Dennen"
Annie Hall,Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane, Paul Simon, Shelley Duvall, Janet Margolin, Colleen Dewhurst, Christopher Walken, Donald Symington, Helen Ludlam, Mordecai Lawner, Joan Neuman, Jonathan Munk, Ruth Volner, Martin Rosenblatt, Hy Anzell, Rashel Novikoff"
Taylor Swift: The Movie,Sam Wrench,"Taylor Swift, Mike Meadows, Max Bernstein, Paul Sidoti, Amos Heller, Matt Billingslea, Karina DePiano, Melanie Nyema, Kamilah Marshall, Jeslyn Gorman, Eliotte Woodford, Amanda Balen, Tori Evans, Raphael Thomas, Audrey Douglass, Kevin Scheitzbach, Jan Ravnik, Kameron Saunders"
Papillon,Franklin J. Schaffner,"Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon, Anthony Zerbe, Robert Deman, Woodrow Parfrey, Bill Mumy, George Coulouris, Ratna Assan, William Smithers, Val Avery, Gregory Sierra, Vic Tayback, Mills Watson, Ron Soble, Barbara Morrison, Don Hanmer"
Nausicaä of the Valley of the Wind,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya, Ichirô Nagai, Kôhei Miyauchi, Jôji Yanami, Minoru Yada, Rihoko Yoshida, Masako Sugaya, Takako Sasuga, Chika Sakamoto, Tarako, Yôji Matsuda, Mîna Tominaga, Mugihito, Akiko Tsuboi, Yoshiko Sakakibara"
What Ever Happened to Baby Jane?,Robert Aldrich,"Bette Davis, Joan Crawford, Victor Buono, Wesley Addy, Julie Allred, Anne Barton, Marjorie Bennett, Bert Freed, Anna Lee, Maidie Norman, Dave Willock, William Aldrich, Russ Conway, Maxine Cooper, Robert Cornthwaite, Michael Fox, Gina Gillespie, Barbara Merrill"
A Matter of Life and Death,"Michael Powell, Emeric Pressburger","David Niven, Kim Hunter, Robert Coote, Kathleen Byron, Richard Attenborough, Bonar Colleano, Joan Maude, Marius Goring, Roger Livesey, Robert Atkins, Bob Roberts, Edwin Max, Betty Potter, Abraham Sofaer, Raymond Massey, Robert Arden, Robert Beatty, Eric Cawthorne"
La dolce vita,Federico Fellini,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux, Magali Noël, Alain Cuny, Annibale Ninchi, Walter Santesso, Valeria Ciangottini, Riccardo Garrone, Ida Galli, Audrey McDonald, Polidor, Alain Dijon, Mino Doro, Giulio Girola, Laura Betti, Nico"
IP Man,Wilson Yip,"Donnie Yen, Simon Yam, Louis Fan, Ka-Tung Lam, Lynn Xiong, Hiroyuki Ikeuchi, Xing Yu, You-Nam Wong, Yu-Hang To, Calvin Ka-Sing Cheng, Zhihui Chen, Tenma Shibuya, Li Chak, Deqiang Shi, Zhong Zhou, Bo Zhang, Kang King, Lu Kai"
Tenkû No Shiro Rapyuta,Hayao Miyazaki,"Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui, Minori Terada, Fujio Tokita, Ichirô Nagai, Hiroshi Ito, Machiko Washio, Takuzô Kamiyama, Yoshito Yasuhara, Sukekiyo Kameyama, Ryûji Saikachi, Tarako, Eken Mine, Reiko Suzuki, Takahiro Hirai, Tomomichi Nishimura, Shinya Ôtaki"
Festen,Thomas Vinterberg,"Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen, Paprika Steen, Birthe Neumann, Trine Dyrholm, Helle Dolleris, Therese Glahn, Klaus Bondam, Bjarne Henriksen, Gbatokai Dakinah, Lasse Lunderskov, Lars Brygmann, Lene Laub Oksen, Linda Laursen, John Boas, Erna Boas, Bent Henningsen"
Kimi no suizô o tabetai,"Jun'ichi Fujise, Tomoyuki Itamura, Masaharu Tomoda","Mahiro Takasugi, Lynn, Yukiyo Fujii, Yuma Uchida, Jun Fukushima, Yurina Amami, Tomoyuki Arai, Nanami Atsugi, Ryan Bartley, Kira Buckland, Amar Kumar Dang, Khoi Dao, Robbie Daymond, Dorah Fine, Erika Harlacher, Nene Hieda, Xanthe Huynh, Kotaro Ishikawa"
Pink Floyd: The Wall,Alan Parker,"Bob Geldof, Christine Hargreaves, James Laurenson, Eleanor David, Kevin McKeon, Bob Hoskins, David Bingham, Jenny Wright, Alex McAvoy, Ellis Dale, James Hazeldine, Ray Mort, Margery Mason, Robert Bridges, Michael Ensign, Marie Passarelli, Winston Rose, Joanne Whalley"
Central do Brasil,Walter Salles,"Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra, Soia Lira, Othon Bastos, Otávio Augusto, Stela Freitas, Matheus Nachtergaele, Caio Junqueira, Socorro Nobre, Manoel Gomes, Roberto Andrade, Sheyla Kenia, Malcon Soares, Maria Fernandes, Maria Marlene, Christano Camargo, Jorseba-Sebastiano Oliveira"
The Shop Around the Corner,Ernst Lubitsch,"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut, Sara Haden, Felix Bressart, William Tracy, Inez Courtney, Sarah Edwards, Edwin Maxwell, Charles Halton, Charles Smith, Charles Arnt, Joan Blair, Mary Carr, Mabel Colcord, Claire Du Brey, William Edmunds"
Persona,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand, Jörgen Lindström"
Do-ga-ni,Hwang Dong-hyuk,"Gong Yoo, Jung Yu-mi, Kim Hyeon-soo, Kim Ji-Yeong, In-seo Jeong, Baek Seung-hwan, Park Hye-jin, Jang Gwang, Jeon Gook-hwan, Seok-yeon Hong, Eom Hyo-Seob, Lim Hyun-sung, Heo Jae-ho, Eom Ji-seong, Kim Ji-young, Choi Jin-ho, Kim Joo-ryung, Kim Kyung Ah"
The Samouri,Jean-Pierre Melville,"Alain Delon, François Périer, Nathalie Delon, Cathy Rosier, Jacques Leroy, Michel Boisrond, Robert Favart, Jean-Pierre Posier, Catherine Jourdan, Roger Fradet, Carlo Nell, Robert Rondo, André Salgues, André Thorent, Jacques Deschamps, Georges Casati, Jacques Léonard, Pierre Vaudier"
Roman Holiday,William Wyler,"Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power, Harcourt Williams, Margaret Rawlings, Tullio Carminati, Paolo Carlini, Claudio Ermelli, Paola Borboni, Alfredo Rizzo, Laura Solari, Gorella Gori, Armando Ambrogi, Armando Annuale, Maurizio Arena, Silvio Bagolini, Nadia Balabine"
Fail Safe,Sidney Lumet,"Henry Fonda, Walter Matthau, Fritz Weaver, Dan O'Herlihy, Frank Overton, Edward Binns, Larry Hagman, William Hansen, Russell Hardie, Russell Collins, Sorrell Booke, Nancy Berg, John Connell, Frank Simpson, Hildy Parks, Janet Ward, Dom DeLuise, Dana Elcar"
Wolfwalkers,"Tomm Moore, Ross Stewart","Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney, Tommy Tiernan, Maria Doyle Kennedy, Jon Kenny, John Morton, Nora Twomey, Oliver McGrath, Paul Young, Niamh Moyles, Ben Andrews, Jerome Funk, Vince Drews, Seamus Greene, Gilbert Johnston, Luke Mandie"
Touch of Evil,Orson Welles,"Charlton Heston, Orson Welles, Janet Leigh, Joseph Calleia, Akim Tamiroff, Joanna Moore, Ray Collins, Dennis Weaver, Valentin de Vargas, Mort Mills, Victor Millan, Lalo Rios, Michael Sargent, Phil Harvey, Joi Lansing, Harry Shannon, Marlene Dietrich, Zsa Zsa Gabor"
Anatomy of a Murder,Otto Preminger,"James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell, Eve Arden, Kathryn Grant, George C. Scott, Orson Bean, Russ Brown, Murray Hamilton, Brooks West, Ken Lynch, John Qualen, Howard McNear, Alexander Campbell, Ned Wever, Jimmy Conlin, Royal Beal"
Song of the Sea,Tomm Moore,"David Rawle, Brendan Gleeson, Lisa Hannigan, Fionnula Flanagan, Lucy O'Connell, Jon Kenny, Pat Shortt, Colm Ó'Snodaigh, Liam Hourican, Kevin Swierszcz, Will Collins, Paul Young"
Who's Afraid of Virginia Woolf?,Mike Nichols,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis, Agnes Flanagan, Frank Flanagan"
Mommy,Xavier Dolan,"Anne Dorval, Antoine Olivier Pilon, Suzanne Clément, Patrick Huard, Alexandre Goyette, Michèle Lituac, Viviane Pacal, Natalie Hamel-Roy, Isabelle Nélisse, Ted Pluviose, Pierre-Yves Cardinal, Reda Guerinik, Justin Laramée, Sabrina Bisson, Huguette Gervais, Vincent Fafard, Jean-Philippe Baril-Guérard, Dominic Desnoyers"
Mou Gaan Dou,"Wai Keung Lau, Alan Mak","Andy Lau, Tony Leung Chiu-wai, Anthony Chau-Sang Wong, Eric Tsang, Kelly Chen, Sammi Cheng, Edison Chen, Shawn Yue, Elva Hsiao, Chapman To, Ka-Tung Lam, Ting Yip Ng, Dion Lam, Chi-Keung Wan, Kam Fung Hui, Tony Ho, Courtney Wu, Hin-Wai Au"
Kaguya-hime No Monogatari,Isao Takahata,"Chloë Grace Moretz, James Caan, Mary Steenburgen, James Marsden, Aki Asakura, Kengo Kôra, Takeo Chii, Nobuko Miyamoto, Atsuko Takahata, Tomoko Tabata, Shinosuke Tatekawa, Takaya Kamikawa, Hikaru Ijûin, Ryûdô Uzaki, Shichinosuke Nakamura, Isao Hashizume, Mirai Uchida, Fubomichi Takazawa"
Das Cabinet des Dr. Caligari,Robert Wiene,"Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover, Hans Heinrich von Twardowski, Rudolf Lettinger, Rudolf Klein-Rogge, Hans Lanser-Ludolff, Henri Peters-Arnolds, Ludwig Rex, Elsa Wagner"
Secrets & Lies,Mike Leigh,"Timothy Spall, Brenda Blethyn, Phyllis Logan, Claire Rushbrook, Marianne Jean-Baptiste, Elizabeth Berrington, Michele Austin, Lee Ross, Lesley Manville, Ron Cook, Emma Amos, Brian Bovell, Trevor Laird, Clare Perkins, Elias Perkins McCook, Jane Mitchell, Janice Acquah, Keylee Jade Flanders"
The 400 Blows,François Truffaut,"Jean-Pierre Léaud, Albert Rémy, Claire Maurier, Guy Decomble, Georges Flamant, Patrick Auffay, Daniel Couturier, François Nocher, Richard Kanayan, Renaud Fontanarosa, Michel Girard, Serge Moati, Bernard Abbou, Jean-François Bergouignan, Michel Lesignor, Luc Andrieux, Robert Beauvais, Bouchon"
Fitzcarraldo,Werner Herzog,"Klaus Kinski, Claudia Cardinale, José Lewgoy, Miguel Ángel Fuentes, Paul Hittscher, Huerequeque Enrique Bohorquez, Grande Otelo, Peter Berling, David Pérez Espinosa, Milton Nascimento, Ruy Polanah, Salvador Godínez, Dieter Milz, William Rose, Leoncio Bueno, Jean-Claude Dreyfus, Jesús Goiri, Mick Jagger"
Andrei Rublev,Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev, Irma Tarkovskaya, Nikolay Burlyaev, Yuriy Nazarov, Yuriy Nikulin, Rolan Bykov, Nikolay Grabbe, Mikhail Kononov, Stepan Krylov, Bolot Beyshenaliev, B. Matysik, Anatoliy Obukhov, Vladimir Titov, Nikolay Glazkov, K. Aleksandrov"
Build My Gallows High,Jacques Tourneur,"Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming, Richard Webb, Steve Brodie, Virginia Huston, Paul Valentine, Dickie Moore, Ken Niles, Brooks Benedict, Oliver Blake, Eumenio Blanco, Wesley Bly, Mildred Boyd, Hubert Brill, James Bush, Ted Collins"
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,Kim Ki-duk,"Kim Ki-duk, Oh Yeong-su, Jong-ho Kim, Kim Young-min, Seo Jae-kyeong, Yeo-jin Ha, Kim Jeong-yeong, Ji Dae-han, Choi Min, Park Ji-ah, Min-Young Song"
Underground,Emir Kusturica,"Predrag 'Miki' Manojlovic, Lazar Ristovski, Mirjana Jokovic, Slavko Stimac, Ernst Stötzner, Srdjan 'Zika' Todorovic, Mirjana Karanovic, Milena Pavlovic, Danilo 'Bata' Stojkovic, Bora Todorovic, Davor Dujmovic, Nele Karajlic, Branislav Lecic, Dragan Nikolic, Erol Kadic, Predrag Zagorac, Hark Bohm, Petar Kralj"
Dare Mo Shiranai,Hirokazu Koreeda,"Yûya Yagira, Ayu Kitaura, Hiei Kimura, Momoko Shimizu, Hanae Kan, You, Kazuyoshi Kushida, Yukiko Okamoto, Sei Hiraizumi, Ryô Kase, Takako Tate, Yûichi Kimura, Ken'ichi Endô, Susumu Terajima, Shinichi Hashizawa, Asato Hayashida, Suguru Horimizu, Tairiku Horita"
The Elite Squad,José Padilha,"Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz, Fernanda Machado, Maria Ribeiro, Paulo Vilela, Fernanda de Freitas, André Di Mauro, Fábio Lago, Erick Oliveira, Patrick Santos, Rafael d'Avila, Roberta Santiago, Emerson Gomes, Bernardo Jablonski, Allan Guilherme, Marcelo Escorel"
Maidaan,Amit Ravindernath Sharma,"Ajay Devgn, Sharik Khan Jr., Priyamani, Gajraj Rao, Devyansh Tapuriah, Nitanshi Goel, Meena Patel, Rudranil Ghosh, Baharul Islam, Maxx Taylor, Toplica Milan Dunjic, Amartya Ray, Raphael Jose, Sammy Jonas Heaney, Peter Daniel Adams, Arnob Khan Akib, Insane Ashraf, Shivangi Bhardwaj"
Sweet Smell of Success,Alexander Mackendrick,"Burt Lancaster, Tony Curtis, Susan Harrison, Martin Milner, Jeff Donnell, Sam Levene, Joe Frisco, Barbara Nichols, Emile Meyer, Edith Atwater, Chico Hamilton, Paul Horn, Fred Katz, Buddy Clark, Jay Adler, Mary Bayless, Nicky Blair, Nick Borgani"
Brief Encounter,David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey, Cyril Raymond, Everley Gregg, Marjorie Mars, Margaret Barton, Wilfred Babbage, Alfie Bass, Wallace Bosco, Sydney Bromley, Noël Coward, Nuna Davey, Valentine Dyall, Irene Handl, Dennis Harkin, Edward Hodge"
Bãhubali: The Beginning,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Ramya Krishnan, Nassar, Rohini, Meka Rama Krishna, Adivi Sesh, Prabhakar, Tanikella Bharani, Sudeep, Charandeep Surneni, Teja Kakumanu, Rakesh Varre, Nora Fatehi, Madhussneha Upadhyay"
Hibernation,Nuri Bilge Ceylan,"Haluk Bilginer, Melisa Sözen, Demet Akbag, Ayberk Pekcan, Serhat Mustafa Kiliç, Nejat Isler, Tamer Levent, Nadir Saribacak, Mehmet Ali Nuroglu, Emirhan Doruktutan, Ekrem Ilhan, Rabia Özel, Fatma Deniz Yildiz, Masaki Murao, Junko Yokomizo, Gülsen Özbakan, Özlem Erol, Güler Kiliç"
Hadashi No Gen,Mori Masaki,"Issei Miyazaki, Catherine Battistone, Yoshie Shimamura, Iona Morris, Masaki Kôda, Brianne Brozey, Barbara Goodson, Takao Inoue, Kirk Thornton, Seiko Nakano, Wendee Lee, Takeshi Aono, Michael McConnohie, Katsuji Mori, Dan Woren, Taeko Nakanishi, Junji Nishimura, Ardwight Chamberlain"
Persepolis,"Vincent Paronnaud, Marjane Satrapi","Chiara Mastroianni, Catherine Deneuve, Gena Rowlands, Danielle Darrieux, Simon Abkarian, Gabrielle Lopes Benites, François Jerosme, Sophie Arthuys, Jean-François Gallotte, Arié Elmaleh, Mathias Mlekuz, Sasha Alliel, Lesceline Hasse, Virginie Antico, Nicolas Leroy, Bénédicte Battesti, Candide Lopes, Hubert Benhamdine"
Love Exposure,Sion Sono,"Takahiro Nishijima, Hikari Mitsushima, Sakura Andô, Yutaka Shimizu, Makiko Watanabe, Hiroyuki Onoue, Atsuro Watabe, Tasuku Nagaoka, Sô Hirosawa, Yûko Genkaku, Mami Nakamura, Arata Yamanaka, Junya Iwamoto, Motoki Ochiai, Sango, Atsushi Yamanaka, Kôichi Koshimura, Shingo Tanaka"
Mar adentro,Alejandro Amenábar,"Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera, Celso Bugallo, Clara Segura, Joan Dalmau, Alberto Jiménez, Tamar Novas, Francesc Garrido, Josep Maria Pou, Alberto Amarilla, Andrea Occhipinti, Federico Pérez Rey, Nicolás Fernández Luna, Raúl Lavisier, Xosé Manuel Olveira 'Pico', César Cambeiro"
